iter	Passed	Remaining
403	9163	4445
404	9185	4422
405	9209	4400
406	9230	4376
407	9249	4352
408	9269	4328
409	9290	4305
410	9312	4282
411	9332	4258
412	9354	4235
413	9375	4212
414	9399	4190
415	9423	4168
416	9447	4145
417	9469	4123
418	9493	4101
419	9520	4080
420	9541	4056
421	9562	4033
422	9586	4011
423	9608	3988
424	9628	3964
425	9648	3941
426	9669	3917
427	9691	3894
428	9713	3871
429	9734	3848
430	9755	3825
431	9774	3801
432	9795	3778
433	9817	3755
434	9837	3731
435	9859	3708
436	9880	3685
437	9901	3662
438	9922	3638
439	9942	3615
440	9960	3591
441	9981	3568
442	10001	3544
443	10021	3521
444	10045	3498
445	10067	3476
446	10091	3453
447	10114	3431
448	10136	3408
449	10158	3386
450	10179	3362
451	10200	3340
452	10224	3317
453	10246	3295
454	10269	3272
455	10292	3250
456	10314	3227
457	10335	3204
458	10358	3181
459	10381	3159
460	10402	3136
461	10425	3114
462	10448	3091
463	10469	3068
464	10491	3046
465	10515	3023
466	10537	3000
467	10560	2978
468	10581	2955
469	10605	2933
470	10627	2910
471	10647	2887
472	10671	2865
473	10692	2842
474	10713	2819
475	10733	2796
476	10756	2773
477	10776	2750
478	10796	2727
479	10818	2704
480	10841	2682
481	10864	2659
482	10887	2637
483	10909	2614
484	10930	2591
485	10953	2569
486	10977	2547
487	11001	2524
488	11023	2502
489	11042	2478
490	11063	2455
491	11083	2433
492	11106	2410
493	11130	2388
494	11151	2365
495	11172	2342
496	11194	2319
497	11217	2297
498	11238	2274
499	11261	2252
500	11283	2229
501	11306	2207
502	11329	2184
503	11351	2162
504	11374	2139
505	11396	2117
506	11418	2094
507	11441	2072
508	11463	2049
509	11488	2027
510	11509	2004
511	11531	1981
512	11552	1959
513	11573	1936
514	11595	1913
515	11617	1891
516	11640	1868
517	11661	1846
518	11682	1823
519	11717	1802
520	11757	1782
521	11782	1760
522	11802	1737
523	11824	1715
524	11844	1692
525	11864	1669
526	11886	1646
527	11907	1623
528	11929	1601
529	11952	1578
530	11975	1556
531	11998	1533
532	12020	1511
533	12041	1488
534	12062	1465
535	12087	1443
536	12110	1420
537	12131	1398
538	12154	1375
539	12177	1353
540	12200	1330
541	12222	1307
542	12248	1285
543	12270	1263
544	12290	1240
545	12311	1217
546	12331	1194
547	12351	1172
548	12376	1149
549	12400	1127
550	12424	1104
551	12445	1082
552	12466	1059
553	12487	1036
554	12509	1014
555	12533	991
556	12556	969
557	12579	946
558	12599	924
559	12620	901
560	12640	878
561	12665	856
562	12688	833
563	12710	811
564	12732	788
565	12756	766
566	12779	743
567	12801	721
568	12823	698
569	12842	675
570	12864	653
571	12887	630
572	12911	608
573	12934	585
574	12956	563
575	12976	540
576	12997	518
577	13021	495
578	13044	473
579	13066	450
580	13088	428
581	13112	405
582	13135	383
583	13157	360
584	13180	337
585	13204	315
586	13229	292
587	13250	270
588	13271	247
589	13292	225
590	13313	202
591	13335	180
592	13358	157
593	13380	135
594	13402	112
595	13423	90
596	13444	67
597	13468	45
598	13489	22
599	13511	0
